source,actor,model,batch_attempts,successful_responses,errors,availability_pct,produced_votes,invalid_or_no_ballot,unrecorded_ballot_validity,mean_latency_ms,p50_latency_ms,p95_latency_ms,errors_by_type,first,last
official,Perplexity-Web,perplexity/sonar-pro,2022,1900,122,93.97,1874,118,30,6654.33,5623.5,11820,"{""timeout"": 25, ""vide"": 1, ""402"": 86, ""403"": 10}",2026-08-07 17:27:22,2026-09-11 18:17:05
official,OpenRouter-Qwen,qwen/qwen-plus-2025-07-28,919,901,18,98.04,901,18,0,5700.18,4497,5532,"{""timeout"": 18}",2026-08-07 17:27:23,2026-08-21 00:02:39
official,DeepSeek-V3,deepseek/deepseek-chat,1537,1498,39,97.46,1484,33,20,11189.14,8623,24432,"{""timeout"": 26, ""504"": 2, ""429"": 9, ""vide"": 2}",2026-08-07 17:27:24,2026-09-06 14:52:04
official,Mistral-Large,mistralai/mistral-large,1066,1013,53,95.03,983,10,73,7150.79,4758.0,14725,"{""timeout"": 19, ""504"": 22, ""503"": 2, ""vide"": 1, ""403"": 9}",2026-08-07 17:27:26,2026-08-29 17:20:56
official,Cohere-Command,cohere/command-r-08-2024,63,60,3,95.24,30,2,31,26933.56,21375,67276,"{""timeout"": 3}",2026-08-07 17:27:39,2026-08-07 20:51:45
official,Perplexity-Web,sonar-pro,42,0,42,0.0,0,42,0,218,239.5,324,"{""401"": 42}",2026-08-07 17:32:57,2026-09-09 17:20:07
official,Cohere-Command,command-r-plus-08-2024,143,41,102,28.67,41,102,0,13554.83,13881,25174,"{""429"": 50, ""timeout"": 52}",2026-08-07 17:32:58,2026-08-29 16:21:22
official,DeepSeek-V3,deepseek-chat,46,0,46,0.0,0,46,0,2183.09,597.0,12679,"{""402"": 45, ""timeout"": 1}",2026-08-07 17:32:58,2026-09-11 00:25:17
official,OpenRouter-Qwen,llama-3.3-70b-versatile,615,277,338,45.04,263,338,14,843.15,54,1154,"{""timeout"": 4, ""429"": 13, ""404"": 321}",2026-08-07 17:32:59,2026-08-26 14:38:19
official,Mistral-Large,mistral-large-latest,778,670,108,86.12,655,108,15,6693.98,4411.5,25016,"{""timeout"": 74, ""429"": 13, ""503"": 11, ""403"": 10}",2026-08-07 17:33:02,2026-09-09 17:20:07
official,Cohere-Command,cohere/command-r-plus-08-2024,1150,1120,30,97.39,1120,21,9,25150.81,14963.5,63659,"{""timeout"": 25, ""vide"": 4, ""reseau"": 1}",2026-08-08 00:06:17,2026-08-29 03:31:51
official,Cohere-Command,llama-3.3-70b-versatile,24,24,0,100.0,24,0,0,971.42,954.5,1118,{},2026-08-08 01:05:37,2026-08-08 10:36:52
official,OpenRouter-Kimi,moonshotai/kimi-k3,153,33,120,21.57,33,120,0,25804.71,15807,72403,"{""vide"": 120}",2026-08-21 10:22:02,2026-09-01 23:05:48
official,OpenRouter-Kimi,moonshotai/kimi-k2,200,168,32,84.0,168,32,0,9409.9,8371.0,26029,"{""vide"": 27, ""reseau"": 1, ""timeout"": 4}",2026-08-21 14:16:07,2026-08-30 18:17:43
official,Mistral-Large,mistralai/mistral-small-2603,788,699,89,88.71,699,88,1,2857.65,2238.5,6253,"{""timeout"": 1, ""reseau"": 2, ""402"": 76, ""403"": 10}",2026-08-21 15:48:50,2026-09-11 18:16:47
official,OpenRouter-Kimi,llama-3.3-70b-versatile,50,0,50,0.0,0,50,0,62.66,32.0,320,"{""404"": 50}",2026-08-21 18:16:53,2026-08-26 22:52:06
official,Qwen-3.7-Max,command-r-plus-08-2024,23,3,20,13.04,3,20,0,23667.48,25033,25498,"{""timeout"": 20}",2026-08-29 16:34:00,2026-08-29 17:38:37
official,Qwen-3.7-Max,qwen/qwen-plus-2025-07-28,131,131,0,100.0,131,0,0,6067.77,4269,24340,{},2026-08-29 17:43:02,2026-08-30 21:40:41
official,OpenRouter-Kimi,qwen/qwen3.7-max,2,0,2,0.0,0,2,0,4254.5,4254.5,4379,"{""vide"": 2}",2026-08-30 18:55:57,2026-08-30 18:56:12
official,Qwen-3.7-Max,moonshotai/kimi-k2,2,2,0,100.0,2,0,0,7851,7851.0,8558,{},2026-08-30 18:56:02,2026-08-30 18:56:15
official,Qwen-3.7-Max,moonshotai/kimi-k2-0905,457,366,91,80.09,366,91,0,7239.05,8257,10209,"{""vide"": 5, ""402"": 77, ""403"": 9}",2026-08-31 15:59:35,2026-09-11 12:31:58
official,OpenRouter-Qwen,moonshotai/kimi-k2-0905,419,323,96,77.09,323,96,0,7310.93,8334,10316,"{""vide"": 11, ""402"": 76, ""403"": 9}",2026-09-02 10:18:46,2026-09-11 18:16:52
official,DeepSeek-V3,deepseek/deepseek-v4-pro,36,18,18,50.0,18,17,1,10327.08,7545.5,45679,"{""vide"": 18}",2026-09-04 16:46:53,2026-09-05 00:09:12
official,DeepSeek-V3,moonshotai/kimi-k2,433,291,142,67.21,291,140,2,7522.72,8501,11612,"{""vide"": 48, ""402"": 84, ""403"": 10}",2026-09-05 18:21:52,2026-09-11 18:16:53
official,Cohere-Command,command-a-plus-05-2026,96,0,96,0.0,0,96,0,2109.14,1727.5,5768,"{""vide"": 96}",2026-09-11 16:52:43,2026-09-11 20:46:51
tournament,Kimi K3,moonshotai/kimi-k2,31,14,17,45.16,,,,8871.06,8603,10215,"{""error"": 17}",2026-09-04 17:08:24,2026-09-11 10:49:10
tournament,GPT-5.2,openai/gpt-5.2,31,7,24,22.58,,,,6502.06,6371,8882,"{""error"": 24}",2026-09-04 17:09:18,2026-09-11 10:50:01
tournament,Claude Sonnet 5,anthropic/claude-sonnet-5,31,24,7,77.42,,,,4225.74,3524,7275,"{""error"": 7}",2026-09-04 17:10:09,2026-09-11 10:50:51
tournament,Gemini 3.7 Flash,google/gemini-3.7-flash,31,0,31,0.0,,,,5522.32,3752,14242,"{""error"": 31}",2026-09-04 17:11:09,2026-09-11 10:51:40
tournament,DeepSeek V4 Pro,deepseek/deepseek-v4-pro-0813,31,6,25,19.35,,,,6034.84,5999,7681,"{""error"": 25}",2026-09-04 17:12:00,2026-09-11 10:52:30
tournament,Grok 4.6,x-ai/grok-4.6,31,31,0,100.0,,,,14751.87,11666,30135,{},2026-09-04 17:13:17,2026-09-11 10:53:26
tournament,GLM 5.3 Flash,z-ai/glm-5.3-flash,31,0,31,0.0,,,,6686.06,5667,11735,"{""error"": 31}",2026-09-04 17:14:07,2026-09-11 10:54:16
tournament,Qwen 3.8 Max,qwen/qwen3.8-max,31,0,31,0.0,,,,8572.65,8699,10937,"{""error"": 31}",2026-09-04 17:15:02,2026-09-11 10:55:09
tournament,Muse Spark 1.2,meta/muse-spark-1.2,31,0,31,0.0,,,,133.19,162,222,"{""error"": 31}",2026-09-04 17:15:47,2026-09-11 10:55:55
tournament,Mercury 2.5,inception/mercury-2.5-preview,30,0,30,0.0,,,,939.03,1025.5,1205,"{""error"": 30}",2026-09-04 17:16:33,2026-09-11 10:56:41
