country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,data_status,source_file
Angleterre,Premier League,Manchester City,1.0,1.0,1.0,2.0,4,False,1.1,1.25,1,100.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Liverpool,5.0,2.0,3.0,1.0,4,False,3.3,2.75,2,95.83,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Manchester united,3.0,6.0,2.0,3.0,4,False,3.7,3.5,3,91.67,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Arsenal,2.0,5.0,8.0,8.0,4,False,4.7,5.75,4,87.5,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Tottenham,8.0,4.0,7.0,6.0,4,False,6.4,6.25,5,83.33,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Chelsea,12.0,3.0,4.0,4.0,4,False,6.9,5.75,6,79.17,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Newcastle,4.0,11.0,12.0,13.0,4,False,8.6,10.0,7,75.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Brighton,6.0,9.0,16.0,15.0,4,False,9.8,11.5,8,70.83,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,West Ham,14.0,7.0,6.0,16.0,4,False,10.5,10.75,9,66.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Brentford,9.0,13.0,9999.0,9999.0,2,True,10.71,11.0,10,62.5,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Aston Villa,7.0,14.0,11.0,17.0,4,False,10.9,12.25,11,58.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Leiciester,18.0,8.0,5.0,5.0,4,False,11.1,9.0,12,54.17,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Wolves,13.0,10.0,13.0,7.0,4,False,11.5,10.75,13,50.0,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Crystal Palace,11.0,12.0,14.0,14.0,4,False,12.2,12.75,14,45.83,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Fulham,10.0,9999.0,18.0,9999.0,2,True,12.67,14.0,15,41.67,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Everton,17.0,16.0,10.0,12.0,4,False,14.8,13.75,16,37.5,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Bournemouth,15.0,9999.0,9999.0,18.0,2,True,15.6,16.5,17,33.33,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Forest,16.0,9999.0,9999.0,9999.0,1,True,16.0,16.0,18,29.17,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Leeds,19.0,17.0,9.0,9999.0,3,False,16.11,15.0,19,25.0,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
Angleterre,Premier League,Burnley,9999.0,18.0,17.0,10.0,3,False,16.33,15.0,20,20.83,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Premier Ligue  (Angleterre ).xlsx
