country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,data_status,source_file
France,Ligue 1,PSG,1.0,1.0,2.0,1.0,4,False,1.2,1.25,1,100.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Marseille,3.0,2.0,5.0,2.0,4,False,3.0,3.0,2,94.12,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Rennes,4.0,4.0,6.0,3.0,4,False,4.3,4.25,3,88.24,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Lens,2.0,7.0,7.0,9999.0,3,False,4.78,5.33,4,82.35,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Monaco,6.0,3.0,3.0,9.0,4,False,4.8,5.25,5,76.47,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Lille,5.0,10.0,1.0,4.0,4,False,5.6,5.0,6,70.59,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Lyon,7.0,8.0,4.0,7.0,4,False,6.7,6.5,7,64.71,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Nice,9.0,5.0,9.0,5.0,4,False,7.4,7.0,8,58.82,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Montpellier,12.0,13.0,8.0,8.0,4,False,11.1,10.25,9,52.94,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Reims,11.0,12.0,14.0,6.0,4,False,11.4,10.75,10,47.06,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Strasbourg,15.0,6.0,15.0,10.0,4,False,11.8,11.5,11,41.18,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Clermont,8.0,17.0,9999.0,9999.0,2,True,11.86,12.5,12,35.29,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Lorient,10.0,16.0,16.0,9999.0,3,False,13.33,14.0,13,29.41,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Brest,14.0,11.0,17.0,14.0,4,False,13.7,14.0,14,23.53,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Nantes,16.0,9.0,18.0,13.0,4,False,14.0,14.0,15,17.65,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Toulouse,13.0,9999.0,9999.0,20.0,2,True,14.4,16.5,16,11.76,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Metz,9999.0,19.0,10.0,15.0,3,False,15.33,14.67,17,5.88,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
France,Ligue 1,Le havre,9999.0,9999.0,9999.0,9999.0,0,True,,,18,0.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Ligue 1 et 2  (France).xlsx
