country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,data_status,source_file
Italie,Serie A,Inter,3.0,2.0,2.0,4.0,4,False,2.6,2.75,1,100.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Napoli,1.0,3.0,7.0,2.0,4,False,2.9,3.25,2,96.15,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Milan,4.0,1.0,6.0,5.0,4,False,3.6,4.0,3,92.31,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Lazio,2.0,5.0,4.0,8.0,4,False,3.9,4.75,4,88.46,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Juventus,7.0,4.0,1.0,1.0,4,False,4.3,3.25,5,84.62,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Atalanta,5.0,8.0,3.0,3.0,4,False,5.3,4.75,6,80.77,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Roma,6.0,6.0,5.0,6.0,4,False,5.8,5.75,7,76.92,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Fiorentina,8.0,7.0,10.0,16.0,4,False,8.9,10.25,8,73.08,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Bologna,9.0,13.0,12.0,10.0,4,False,10.9,11.0,9,69.23,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Torino,10.0,10.0,16.0,7.0,4,False,10.9,10.75,10,65.38,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
Italie,Serie A,Monza,11.0,9999.0,9999.0,9999.0,1,True,11.0,11.0,11,61.54,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Serie A (Italie).xlsx
