country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,data_status,source_file
Norvege,Eliteserien,Bodo/Glimt,1.0,2.0,1.0,1.0,4,False,1.3,1.25,1,100.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Molde,5.0,1.0,2.0,2.0,4,False,2.9,2.5,2,93.33,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Lillestrom,6.0,4.0,4.0,9999.0,3,False,4.89,4.67,3,86.67,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Rosenborg,9.0,3.0,5.0,4.0,4,False,5.9,5.25,4,80.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Viking,4.0,11.0,3.0,6.0,4,False,6.1,6.0,5,73.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Tromso,3.0,7.0,12.0,9999.0,3,False,6.33,7.33,6,66.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Brann,2.0,9999.0,14.0,10.0,3,False,6.57,8.67,7,60.0,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Sarpsborg 08,8.0,8.0,8.0,12.0,4,False,8.4,9.0,8,53.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Odd,10.0,5.0,13.0,7.0,4,False,8.8,8.75,9,46.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Stromsgodset,7.0,12.0,9.0,13.0,4,False,9.5,10.25,10,40.0,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Kristiansund,9999.0,15.0,6.0,5.0,3,False,10.33,8.67,11,33.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Haugesund,12.0,10.0,11.0,9.0,4,False,10.9,10.5,12,26.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,HamKam,11.0,13.0,9999.0,9999.0,2,True,11.86,12.0,13,20.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Sandefjord,13.0,14.0,10.0,11.0,4,False,12.5,12.0,14,13.33,BOTTOM_25_HISTORIQUE,False,True,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,Fredrikstad,9999.0,9999.0,9999.0,9999.0,0,True,,,15,6.67,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
Norvege,Eliteserien,KFUM Oslo,9999.0,9999.0,9999.0,9999.0,0,True,,,16,0.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Eliteserien (Norvege).xlsx
