country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,data_status,source_file
Suede,Allsvenskan,Malmo,1.0,7.0,1.0,1.0,4,False,2.8,2.5,1,100.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Djurgarden,4.0,2.0,3.0,4.0,4,False,3.2,3.25,2,93.33,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Elfsborg,2.0,6.0,4.0,2.0,4,False,3.6,3.5,3,86.67,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Hacken,3.0,1.0,12.0,3.0,4,False,4.2,4.75,4,80.0,TOP_25_HISTORIQUE,True,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Hammarby,7.0,3.0,5.0,8.0,4,False,5.5,5.75,5,73.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Kalmar,6.0,4.0,6.0,14.0,4,False,6.2,7.5,6,66.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Varnamo,5.0,10.0,9999.0,9999.0,2,True,7.14,7.5,7,60.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,AIK,11.0,5.0,2.0,9.0,4,False,7.2,6.75,8,53.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Mjallby,10.0,9.0,9.0,5.0,4,False,9.0,8.25,9,46.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Norrkoping,9.0,12.0,7.0,6.0,4,False,9.2,8.5,10,40.0,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Sirius,8.0,11.0,11.0,10.0,4,False,9.7,10.0,11,33.33,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Goteborg,13.0,8.0,8.0,12.0,4,False,10.4,10.25,12,26.67,MIDDLE_HISTORIQUE,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Halmstad,12.0,9999.0,14.0,9999.0,2,True,12.67,13.0,13,20.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Brommapojkarna,14.0,9999.0,9999.0,9999.0,1,True,14.0,14.0,14,13.33,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,GAIS,9999.0,9999.0,9999.0,9999.0,0,True,,,15,6.67,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
Suede,Allsvenskan,Vasteras,9999.0,9999.0,9999.0,9999.0,0,True,,,16,0.0,HISTORIQUE_INCOMPLET_SHADOW,False,False,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Allsvenskan (Suède).xlsx
