country,league,team,historical_average_power,historical_rank,historical_percentile,historical_tier,seasons_available,historique_incomplet,usable_as_top_candidate,usable_as_bottom_target,data_status,season_1_label,season_1_rank,season_1_points,season_1_played,season_1_wins,season_1_draws,season_1_losses,season_1_goals_for,season_1_goals_against,season_1_goal_difference,season_1_points_per_match,season_1_season_power,season_2_label,season_2_rank,season_2_points,season_2_played,season_2_wins,season_2_draws,season_2_losses,season_2_goals_for,season_2_goals_against,season_2_goal_difference,season_2_points_per_match,season_2_season_power,season_3_label,season_3_rank,season_3_points,season_3_played,season_3_wins,season_3_draws,season_3_losses,season_3_goals_for,season_3_goals_against,season_3_goal_difference,season_3_points_per_match,season_3_season_power,season_4_label,season_4_rank,season_4_points,season_4_played,season_4_wins,season_4_draws,season_4_losses,season_4_goals_for,season_4_goals_against,season_4_goal_difference,season_4_points_per_match,season_4_season_power
Belgique,Pro League,St. Gilloise,89.06,1,100.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,1,83,40,24,11,5,71,28,43,2.075,89.21,2023-2024,1,84,40,25,9,6,80,43,37,2.1,89.5,2022-2023,2,75,34,23,6,5,70,41,29,2.206,86.91,2021-2022,1,77,34,24,5,5,78,27,51,2.265,91.42
Belgique,Pro League,Club Brugge,80.64,2,95.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,2,82,40,24,10,6,86,42,44,2.05,84.58,2023-2024,3,75,40,21,12,7,83,35,48,1.875,78.21,2022-2023,4,59,34,16,11,7,61,36,25,1.735,73.77,2021-2022,2,72,34,21,9,4,72,37,35,2.118,85.89
Belgique,Pro League,Genk,73.83,3,90.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,3,81,40,25,6,9,69,44,25,2.025,79.96,2023-2024,6,60,41,16,12,13,59,49,10,1.463,60.4,2022-2023,1,75,34,23,6,5,78,37,41,2.206,90.74,2021-2022,8,51,34,15,6,13,66,47,19,1.5,55.74
Belgique,Pro League,Anderlecht,69.29,4,85.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,4,61,40,18,7,15,62,40,22,1.525,69.79,2023-2024,2,77,40,22,11,7,70,42,28,1.925,83.12,2022-2023,11,46,34,13,7,14,49,46,3,1.353,42.55,2021-2022,3,64,34,18,10,6,72,36,36,1.882,79.31
Belgique,Pro League,Antwerp,63.15,5,80.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,6,55,40,14,13,13,57,50,7,1.375,59.37,2023-2024,8,58,40,16,10,14,62,45,17,1.45,51.58,2022-2023,3,72,34,22,6,6,59,26,33,2.118,82.06,2021-2022,4,63,34,19,6,9,55,38,17,1.853,75.15
Belgique,Pro League,Gent,60.53,6,75.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,9,48,40,12,12,16,45,65,-20,1.2,44.33,2023-2024,4,74,41,21,11,9,81,48,33,1.805,73.06,2022-2023,5,56,34,16,8,10,64,38,26,1.647,68.92,2021-2022,5,62,34,18,8,8,56,30,26,1.824,70.99
Belgique,Pro League,Charleroi,53.86,7,70.0,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,5,58,40,16,10,14,55,46,9,1.45,64.58,2023-2024,10,45,36,12,9,15,37,52,-15,1.25,40.58,2022-2023,10,48,34,14,6,14,45,52,-7,1.412,47.06,2021-2022,6,54,34,15,9,10,55,46,9,1.588,64.41
Belgique,Pro League,Mechelen,51.9,8,65.0,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,8,50,40,12,14,14,62,57,5,1.25,49.25,2023-2024,5,61,40,18,7,15,59,52,7,1.525,65.46,2022-2023,13,40,34,11,7,16,49,63,-14,1.176,32.84,2021-2022,7,52,34,15,7,12,57,61,-4,1.529,59.9
Belgique,Pro League,Westerlo,45.11,9,60.0,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,7,51,40,13,12,15,69,65,4,1.275,53.88,2023-2024,13,36,39,8,12,19,54,74,-20,0.923,23.77,2022-2023,7,51,34,14,9,11,61,53,8,1.5,59.56,2021-2022,,,,,,,,,,,
Belgique,Pro League,Cercle Brugge,41.15,10,55.0,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,14,39,36,9,12,15,39,57,-18,1.083,21.3,2023-2024,7,60,40,17,9,14,57,47,10,1.5,56.5,2022-2023,8,50,34,13,11,10,50,46,4,1.471,55.4,2021-2022,10,45,34,12,9,13,49,46,3,1.324,46.03
