country,league,team,historical_average_power,historical_rank,historical_percentile,historical_tier,seasons_available,historique_incomplet,usable_as_top_candidate,usable_as_bottom_target,data_status,season_1_label,season_1_rank,season_1_points,season_1_played,season_1_wins,season_1_draws,season_1_losses,season_1_goals_for,season_1_goals_against,season_1_goal_difference,season_1_points_per_match,season_1_season_power,season_2_label,season_2_rank,season_2_points,season_2_played,season_2_wins,season_2_draws,season_2_losses,season_2_goals_for,season_2_goals_against,season_2_goal_difference,season_2_points_per_match,season_2_season_power,season_3_label,season_3_rank,season_3_points,season_3_played,season_3_wins,season_3_draws,season_3_losses,season_3_goals_for,season_3_goals_against,season_3_goal_difference,season_3_points_per_match,season_3_season_power,season_4_label,season_4_rank,season_4_points,season_4_played,season_4_wins,season_4_draws,season_4_losses,season_4_goals_for,season_4_goals_against,season_4_goal_difference,season_4_points_per_match,season_4_season_power
Ecosse,Premiership,Celtic,93.79,1,100.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,1,92,38,29,5,4,112,26,86,2.421,93.24,2023-2024,1,93,38,29,6,3,95,30,65,2.447,93.55,2022-2023,1,99,38,32,3,3,114,34,80,2.605,95.39,2021-2022,1,93,38,29,6,3,92,22,70,2.447,93.55
Ecosse,Premiership,Rangers,84.51,2,91.67,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,2,75,38,22,9,7,80,41,39,1.974,82.12,2023-2024,2,85,38,27,4,7,87,32,55,2.237,85.19,2022-2023,2,92,38,29,5,4,93,37,56,2.421,87.34,2021-2022,2,89,38,27,8,3,80,31,49,2.342,86.41
Ecosse,Premiership,Hearts,62.74,3,83.33,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,6,52,38,15,7,16,52,47,5,1.368,51.41,2023-2024,3,68,38,20,8,10,54,42,12,1.789,74.05,2022-2023,4,54,38,15,9,14,63,57,6,1.421,63.85,2021-2022,3,61,38,17,10,11,54,44,10,1.605,71.91
Ecosse,Premiership,Hibernian,57.3,4,75.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,3,58,38,15,13,10,62,50,12,1.526,70.99,2023-2024,7,46,38,11,13,14,52,59,-7,1.211,43.67,2022-2023,5,52,38,15,7,16,57,59,-2,1.368,57.32,2021-2022,7,45,38,11,12,15,38,42,-4,1.184,43.36
Ecosse,Premiership,Aberdeen,57.05,5,66.67,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,5,53,38,15,8,15,48,61,-13,1.395,57.64,2023-2024,5,48,38,12,12,14,48,52,-4,1.263,56.1,2022-2023,3,57,38,18,3,17,56,60,-4,1.5,70.68,2021-2022,9,41,38,10,11,17,41,46,-5,1.079,30.32
Ecosse,Premiership,Dundee United,47.05,6,58.33,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,4,53,38,15,8,15,45,54,-9,1.395,63.55,2023-2024,,,,,,,,,,,,2022-2023,12,31,38,8,7,23,40,70,-30,0.816,9.52,2021-2022,5,48,38,12,12,14,37,44,-7,1.263,56.1
Ecosse,Premiership,St Mirren,45.38,7,50.0,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,7,50,38,14,8,16,53,59,-6,1.316,44.9,2023-2024,6,47,38,13,8,17,46,52,-6,1.237,49.89,2022-2023,7,46,38,12,10,16,43,61,-18,1.211,43.67,2021-2022,8,44,38,10,14,14,33,51,-18,1.158,37.15
Ecosse,Premiership,Motherwell,41.64,8,41.67,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,8,49,38,14,7,17,46,63,-17,1.289,38.67,2023-2024,8,43,38,10,13,15,56,59,-3,1.132,36.84,2022-2023,6,50,38,14,8,16,53,51,2,1.316,50.81,2021-2022,6,46,38,12,10,16,42,61,-19,1.211,49.58
Ecosse,Premiership,Kilmarnock,40.73,9,33.33,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,9,44,38,12,8,18,45,64,-19,1.158,31.24,2023-2024,4,56,38,14,14,10,46,44,2,1.474,64.47,2022-2023,10,40,38,11,7,20,37,62,-25,1.053,24.1,2021-2022,,,,,,,,,,,
Ecosse,Premiership,Livingston,26.81,10,25.0,BOTTOM_25_HISTORIQUE,3,False,False,True,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,12,25,38,5,10,23,29,70,-41,0.658,7.68,2022-2023,8,46,38,13,7,18,36,60,-24,1.211,37.76,2021-2022,4,49,38,13,10,15,41,46,-5,1.289,62.31
Ecosse,Premiership,Dundee,24.8,11,16.67,BOTTOM_25_HISTORIQUE,3,False,False,True,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,10,41,38,11,8,19,57,77,-20,1.079,24.41,2023-2024,9,42,38,10,12,16,49,68,-19,1.105,30.62,2022-2023,,,,,,,,,,,,2021-2022,12,29,38,6,11,21,34,64,-30,0.763,8.9
Ecosse,Premiership,St Johnstone,18.55,12,8.33,BOTTOM_25_HISTORIQUE,4,False,False,True,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,12,32,38,9,5,24,38,68,-30,0.842,9.82,2023-2024,10,35,38,8,11,19,29,54,-25,0.921,22.56,2022-2023,9,43,38,12,7,19,41,59,-18,1.132,30.93,2021-2022,11,35,38,8,11,19,24,51,-27,0.921,16.65
Ecosse,Premiership,Ross County,17.61,13,0.0,BOTTOM_25_HISTORIQUE,4,False,False,True,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,11,37,38,9,10,19,37,65,-28,0.974,17.27,2023-2024,11,35,38,8,11,19,38,67,-29,0.921,16.65,2022-2023,11,34,38,9,7,22,37,60,-23,0.895,16.35,2021-2022,10,41,38,10,11,17,47,61,-14,1.079,24.41
