country,league,team,historical_average_power,historical_rank,historical_percentile,historical_tier,seasons_available,historique_incomplet,usable_as_top_candidate,usable_as_bottom_target,data_status,season_1_label,season_1_rank,season_1_points,season_1_played,season_1_wins,season_1_draws,season_1_losses,season_1_goals_for,season_1_goals_against,season_1_goal_difference,season_1_points_per_match,season_1_season_power,season_2_label,season_2_rank,season_2_points,season_2_played,season_2_wins,season_2_draws,season_2_losses,season_2_goals_for,season_2_goals_against,season_2_goal_difference,season_2_points_per_match,season_2_season_power,season_3_label,season_3_rank,season_3_points,season_3_played,season_3_wins,season_3_draws,season_3_losses,season_3_goals_for,season_3_goals_against,season_3_goal_difference,season_3_points_per_match,season_3_season_power,season_4_label,season_4_rank,season_4_points,season_4_played,season_4_wins,season_4_draws,season_4_losses,season_4_goals_for,season_4_goals_against,season_4_goal_difference,season_4_points_per_match,season_4_season_power
Pays-Bas,Eredivisie,PSV Eindhoven,91.99,1,100.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,1,79,34,25,4,5,103,39,64,2.324,92.11,2023-2024,1,91,34,29,4,1,111,21,90,2.676,96.22,2022-2023,2,75,34,23,6,5,89,40,49,2.206,86.91,2021-2022,2,81,34,26,3,5,86,42,44,2.382,88.97
Pays-Bas,Eredivisie,Feyenoord,86.08,2,95.45,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,3,68,34,20,8,6,76,38,38,2.0,80.69,2023-2024,2,84,34,26,6,2,92,26,66,2.471,90.0,2022-2023,1,82,34,25,7,2,81,30,51,2.412,93.14,2021-2022,3,71,34,22,5,7,76,34,42,2.088,81.71
Pays-Bas,Eredivisie,Ajax,81.4,3,90.91,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,2,78,34,24,6,4,67,32,35,2.294,87.94,2023-2024,5,56,34,15,11,8,74,61,13,1.647,68.92,2022-2023,3,69,34,20,9,5,86,38,48,2.029,81.02,2021-2022,1,83,34,26,5,3,98,19,79,2.441,93.48
Pays-Bas,Eredivisie,AZ Alkmaar,72.82,4,86.36,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,5,57,34,16,9,9,58,37,21,1.676,69.26,2023-2024,4,65,34,19,8,7,70,39,31,1.912,75.84,2022-2023,4,67,34,20,7,7,68,35,33,1.971,76.52,2021-2022,5,61,34,18,7,9,64,44,20,1.794,70.64
Pays-Bas,Eredivisie,Twente,72.09,5,81.82,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,6,54,34,15,9,10,62,49,13,1.588,64.41,2023-2024,3,69,34,21,6,7,69,36,33,2.029,81.02,2022-2023,5,64,34,18,10,6,66,27,39,1.882,71.66,2021-2022,4,68,34,20,8,6,55,37,18,2.0,76.86
Pays-Bas,Eredivisie,Utrecht,65.9,6,77.27,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,4,64,34,18,10,6,62,45,17,1.882,75.49,2023-2024,7,50,34,13,11,10,49,47,2,1.471,59.22,2022-2023,7,54,34,15,9,10,55,50,5,1.588,60.59,2021-2022,7,47,34,12,11,11,51,46,5,1.382,58.18
Pays-Bas,Eredivisie,Nijmegen,51.66,7,72.73,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,8,43,34,12,7,15,51,46,5,1.265,52.99,2023-2024,6,53,34,14,11,9,68,51,17,1.559,64.07,2022-2023,12,39,34,8,15,11,42,45,-3,1.147,36.32,2021-2022,11,38,34,10,8,16,38,52,-14,1.118,39.81
Pays-Bas,Eredivisie,Go Ahead Eagles,50.13,8,68.18,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,7,51,34,14,9,11,57,55,2,1.5,59.56,2023-2024,9,46,34,12,10,12,47,46,1,1.353,50.2,2022-2023,11,40,34,10,10,14,46,56,-10,1.176,40.48,2021-2022,13,36,34,10,6,18,37,51,-14,1.059,31.47
Pays-Bas,Eredivisie,Heerenveen,47.54,9,63.64,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,9,43,34,12,7,15,42,57,-15,1.265,49.17,2023-2024,11,37,34,10,7,17,53,70,-17,1.088,39.46,2022-2023,8,46,34,12,10,12,44,50,-6,1.353,54.02,2021-2022,8,41,34,11,8,15,37,50,-13,1.206,52.31
Pays-Bas,Eredivisie,Sparta Rotterdam,47.0,10,59.09,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,12,39,34,9,12,13,39,43,-4,1.147,36.32,2023-2024,8,49,34,14,7,13,51,48,3,1.441,55.05,2022-2023,6,59,34,17,8,9,60,37,23,1.735,66.12,2021-2022,14,35,34,8,11,15,30,48,-18,1.029,27.3
