country,league,team,historical_average_power,historical_rank,historical_percentile,historical_tier,seasons_available,historique_incomplet,usable_as_top_candidate,usable_as_bottom_target,data_status,season_1_label,season_1_rank,season_1_points,season_1_played,season_1_wins,season_1_draws,season_1_losses,season_1_goals_for,season_1_goals_against,season_1_goal_difference,season_1_points_per_match,season_1_season_power,season_2_label,season_2_rank,season_2_points,season_2_played,season_2_wins,season_2_draws,season_2_losses,season_2_goals_for,season_2_goals_against,season_2_goal_difference,season_2_points_per_match,season_2_season_power,season_3_label,season_3_rank,season_3_points,season_3_played,season_3_wins,season_3_draws,season_3_losses,season_3_goals_for,season_3_goals_against,season_3_goal_difference,season_3_points_per_match,season_3_season_power,season_4_label,season_4_rank,season_4_points,season_4_played,season_4_wins,season_4_draws,season_4_losses,season_4_goals_for,season_4_goals_against,season_4_goal_difference,season_4_points_per_match,season_4_season_power
Portugal,Primeira Liga,Sp Lisbon,90.84,1,100.0,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,1,82,34,25,7,2,88,27,61,2.412,93.14,2023-2024,1,90,34,29,3,2,96,29,67,2.647,95.88,2022-2023,4,74,34,23,5,6,71,32,39,2.176,78.92,2021-2022,2,85,34,27,4,3,73,23,50,2.5,90.34
Portugal,Primeira Liga,Benfica,89.29,2,95.83,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,2,80,34,25,5,4,84,28,56,2.353,88.63,2023-2024,2,80,34,25,5,4,77,28,49,2.353,88.63,2022-2023,1,87,34,28,3,3,82,20,62,2.559,94.86,2021-2022,3,74,34,23,5,6,78,30,48,2.176,82.74
Portugal,Primeira Liga,Porto,84.99,3,91.67,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,3,71,34,22,5,7,65,30,35,2.088,81.71,2023-2024,3,72,34,22,6,6,63,27,36,2.118,82.06,2022-2023,2,85,34,27,4,3,73,22,51,2.5,90.34,2021-2022,1,91,34,29,4,1,86,22,64,2.676,96.22
Portugal,Primeira Liga,Sp Braga,77.93,4,87.5,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,4,66,34,19,9,6,55,30,25,1.941,76.17,2023-2024,4,68,34,21,5,8,71,50,21,2.0,76.86,2022-2023,3,78,34,25,3,6,75,30,45,2.294,84.12,2021-2022,4,65,34,19,8,7,52,31,21,1.912,75.84
Portugal,Primeira Liga,Guimaraes,66.21,5,83.33,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,6,54,34,14,12,8,47,37,10,1.588,64.41,2023-2024,5,63,34,19,6,9,52,38,14,1.853,71.32,2022-2023,6,53,34,16,5,13,34,39,-5,1.559,64.07,2021-2022,6,48,34,13,9,12,50,41,9,1.412,62.36
Portugal,Primeira Liga,Famalicao,54.89,6,79.17,TOP_25_HISTORIQUE,4,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,7,47,34,12,11,11,44,39,5,1.382,58.18,2023-2024,8,42,34,10,12,12,37,41,-4,1.235,52.64,2022-2023,8,44,34,13,5,16,39,47,-8,1.294,53.33,2021-2022,8,39,34,9,12,13,45,51,-6,1.147,51.62
Portugal,Primeira Liga,Santa Clara,49.7,7,75.0,TOP_25_HISTORIQUE,3,False,True,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,5,57,34,17,6,11,36,32,4,1.676,69.26,2023-2024,,,,,,,,,,,,2022-2023,18,22,34,5,7,22,26,58,-32,0.647,7.55,2021-2022,7,40,34,9,13,12,38,54,-16,1.176,55.78
Portugal,Primeira Liga,Arouca,49.13,8,70.83,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,11,38,34,9,11,14,35,49,-14,1.118,39.81,2023-2024,7,46,34,13,7,14,54,50,4,1.353,57.84,2022-2023,5,54,34,15,9,10,36,37,-1,1.588,68.23,2021-2022,15,31,34,7,10,17,30,54,-24,0.912,22.11
Portugal,Primeira Liga,Moreirense,48.64,9,66.67,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,10,40,34,10,10,14,42,50,-8,1.176,44.31,2023-2024,6,55,34,16,7,11,36,35,1,1.618,64.76,2022-2023,,,,,,,,,,,,2021-2022,16,29,34,7,8,19,33,51,-18,0.853,17.6
Portugal,Primeira Liga,Casa Pia,47.9,10,62.5,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,9,45,34,12,9,13,39,44,-5,1.324,49.86,2023-2024,9,38,34,10,8,16,38,50,-12,1.118,47.46,2022-2023,10,41,34,11,8,15,31,40,-9,1.206,44.66,2021-2022,,,,,,,,,,,
Portugal,Primeira Liga,Estoril,40.98,11,58.33,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,8,46,34,12,10,12,48,53,-5,1.353,54.02,2023-2024,13,33,34,9,6,19,49,58,-9,0.971,30.45,2022-2023,14,35,34,10,5,19,33,49,-16,1.029,27.3,2021-2022,9,39,34,9,12,13,36,43,-7,1.147,47.79
