country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,quality_flag,country_status,data_status,source_file
Argentine,Liga Profesional / Primera Division,Rivers Plate,1.0,3.0,1.0,2.0,4,False,1.7,1.75,1,100.0,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Boca Junior,6.0,1.0,4.0,1.0,4,False,3.6,3.0,2,96.55,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Talleres CordobaSan Lorenzo,2.0,13.0,3.0,12.0,4,False,6.5,7.5,3,93.1,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,NAME_TO_VERIFY,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Defensa YJusticia,5.0,12.0,2.0,6.0,4,False,6.6,6.25,4,89.66,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Racing Club,11.0,2.0,15.0,4.0,4,False,8.4,8.0,5,86.21,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Argentinos Jrs,9.0,8.0,14.0,5.0,4,False,9.3,9.0,6,82.76,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Estudiantes,4.0,18.0,6.0,13.0,4,False,9.5,10.25,7,79.31,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,San Lorenzo,9999.0,6.0,21.0,8.0,3,False,11.33,11.67,8,75.86,TOP_25_HISTORIQUE,True,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Tigre,15.0,7.0,9999.0,9999.0,2,True,11.57,11.0,9,72.41,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Atl Tucuman,10.0,5.0,25.0,15.0,4,False,12.0,13.75,10,68.97,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Belgrano,12.0,9999.0,9999.0,9999.0,1,True,12.0,12.0,11,65.52,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Lanus,3.0,27.0,10.0,7.0,4,False,12.0,11.75,12,62.07,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Rosario,7.0,20.0,16.0,9.0,4,False,12.9,13.0,13,58.62,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Newells Old Boys,13.0,11.0,19.0,10.0,4,False,13.3,13.25,14,55.17,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Godoy Cruz,8.0,15.0,17.0,24.0,4,False,13.5,16.0,15,51.72,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Huracan,25.0,4.0,8.0,21.0,4,False,14.9,14.5,16,48.28,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Gimnasia L.P,21.0,9.0,11.0,19.0,4,False,15.2,15.0,17,44.83,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Barracas Central,14.0,17.0,9999.0,9999.0,2,True,15.29,15.5,18,41.38,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Patronato,9999.0,10.0,23.0,20.0,3,False,16.0,17.67,19,37.93,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Independiente,23.0,14.0,9.0,14.0,4,False,16.6,15.0,20,34.48,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Instituto,17.0,9999.0,9999.0,9999.0,1,True,17.0,17.0,21,31.03,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Platense,16.0,19.0,18.0,9999.0,3,False,17.44,17.67,22,27.59,MIDDLE_HISTORIQUE,False,False,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Union Santa Fe,19.0,22.0,12.0,16.0,4,False,18.2,17.25,23,24.14,BOTTOM_25_HISTORIQUE,False,True,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
Argentine,Liga Profesional / Primera Division,Velez Sarsfield,24.0,26.0,5.0,3.0,4,False,18.7,14.5,24,20.69,BOTTOM_25_HISTORIQUE,False,True,,PRUDENCE_TRICHE_UTILISATEUR,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\Liga profesional (Argentine).xlsx
