country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,quality_flag,country_status,data_status,source_file
Coree du Sud,K League 1,Ulsan HD,1.0,1.0,2.0,1.0,4,False,1.2,1.25,1,100.0,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Jeonbuk,4.0,2.0,1.0,2.0,4,False,2.6,2.25,2,92.86,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Pohang,2.0,3.0,7.0,3.0,4,False,3.4,3.75,3,85.71,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Daegu,5.0,9.0,3.0,5.0,4,False,5.8,5.5,4,78.57,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Gwangju,3.0,9999.0,12.0,6.0,3,False,6.0,7.0,5,71.43,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Incheon,6.0,4.0,8.0,12.0,4,False,6.4,7.5,6,64.29,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Jeju,9.0,5.0,5.0,9999.0,3,False,6.78,6.33,7,57.14,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Suwon FC,10.0,7.0,4.0,9999.0,3,False,7.67,7.0,8,50.0,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Seoul,7.0,8.0,9.0,7.0,4,False,7.7,7.75,9,42.86,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Daejeon,8.0,9999.0,9999.0,9999.0,1,True,8.0,8.0,10,35.71,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Gimcheon Sangmu,9999.0,10.0,9999.0,4.0,2,True,8.5,7.0,11,28.57,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Gangwon,11.0,6.0,10.0,8.0,4,False,9.0,8.75,12,21.43,BOTTOM_25_HISTORIQUE,False,True,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Busan,9999.0,9999.0,9999.0,10.0,1,True,10.0,10.0,13,14.29,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Suwon Bluewings,12.0,11.0,6.0,11.0,4,False,10.4,10.0,14,7.14,BOTTOM_25_HISTORIQUE,False,True,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
Coree du Sud,K League 1,Seongnam,9999.0,12.0,11.0,9.0,3,False,11.17,10.67,15,0.0,BOTTOM_25_HISTORIQUE,False,True,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\K League 1 (Corée du Sud ).xlsx
