country,league,team,rank_a1,rank_a2,rank_a3,rank_a4,seasons_available,historique_incomplet,weighted_average_rank,simple_average_rank,historical_rank,historical_percentile,historical_tier,usable_as_top_candidate,usable_as_bottom_target,quality_flag,country_status,data_status,source_file
Japon,J1 League,Yokohama FM,2.0,1.0,2.0,9.0,4,False,2.4,3.5,1,100.0,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Kawasaki,8.0,2.0,1.0,1.0,4,False,4.1,3.0,2,95.83,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Hiroshima,3.0,3.0,11.0,8.0,4,False,5.1,6.25,3,91.67,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Nagoya,6.0,8.0,5.0,3.0,4,False,6.1,5.5,4,87.5,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Vissel Kobe,1.0,13.0,3.0,14.0,4,False,6.3,7.75,5,83.33,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Urawa Reds,4.0,9.0,6.0,10.0,4,False,6.5,7.25,6,79.17,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Cerezo Osaka,9999.0,5.0,12.0,4.0,3,False,7.17,7.0,7,75.0,TOP_25_HISTORIQUE,True,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Kashiwa,5.0,7.0,15.0,7.0,4,False,7.8,8.5,8,70.83,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Tokyo,11.0,6.0,9.0,6.0,4,False,8.6,8.0,9,66.67,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Kashima,17.0,4.0,4.0,5.0,4,False,9.3,7.5,10,62.5,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Fukuoka,7.0,14.0,8.0,9999.0,3,False,9.56,9.67,11,58.33,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Albirex Niigata,10.0,9999.0,9999.0,9999.0,1,True,10.0,10.0,12,54.17,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Sapporo,12.0,10.0,10.0,12.0,4,False,11.0,11.0,13,50.0,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,S.Tosu,14.0,11.0,7.0,13.0,4,False,11.6,11.25,14,45.83,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Gamba Osaka,16.0,15.0,13.0,2.0,4,False,13.7,11.5,15,41.67,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Kyoto Sanga,13.0,16.0,9999.0,9999.0,2,True,14.29,14.5,16,37.5,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Shonan,15.0,12.0,16.0,18.0,4,False,14.6,15.25,17,33.33,MIDDLE_HISTORIQUE,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Shimizu,9999.0,9999.0,14.0,16.0,2,True,14.67,15.0,18,29.17,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Oita,9999.0,9999.0,18.0,11.0,2,True,15.67,14.5,19,25.0,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
Japon,J1 League,Tokushima V,9999.0,9999.0,17.0,9999.0,1,True,17.0,17.0,20,20.83,HISTORIQUE_INCOMPLET_OU_A_VERIFIER_SHADOW,False,False,,SHADOW_ASIE,LOCAL_RANK_ONLY_NEEDS_CROSS_CHECK,C:\Users\Greg\Downloads\J1 League (Japon).xlsx
